name,skill,score
Haaland,SprintSpeed,94
Haaland,Crossing,47
Haaland,Finishing,94
Haaland,HeadAcc,79
Haaland,Shortpass,74
Haaland,Volleys,88
Haaland,Dribbling,78
Haaland,Curve,77
Haaland,FKAcc,62
Haaland,Longpass,53
Haaland,Ballcontrol,82
Haaland,Shotpower,94
Haaland,Jumping,74
Haaland,Stamina,81
Haaland,Strength,93
Haaland,Longshots,87
Haaland,Accerlation,82
Haaland,Agility,76
Haaland,Reactions,88
Haaland,Balance,72
Haaland,Aggression,85
Haaland,Interceptions,43
Haaland,AttackPosition,89
Haaland,Vision,74
Haaland,Penalties,76
Haaland,Composure,85
Darwin,SprintSpeed,83
Darwin,Crossing,67
Darwin,Finishing,83
Darwin,HeadAcc,76
Darwin,Shortpass,69
Darwin,Volleys,78
Darwin,Dribbling,76
Darwin,Curve,75
Darwin,FKAcc,61
Darwin,Longpass,60
Darwin,Ballcontrol,77
Darwin,Shotpower,86
Darwin,Jumping,76
Darwin,Stamina,89
Darwin,Strength,88
Darwin,Longshots,75
Darwin,Accerlation,91
Darwin,Agility,78
Darwin,Reactions,84
Darwin,Balance,67
Darwin,Aggression,78
Darwin,Interceptions,41
Darwin,AttackPosition,84
Darwin,Vision,71
Darwin,Penalties,78
Darwin,Composure,83
